week,¼Ò¸Å°¡,Æò±Õ±â¿Â,ÃÖÀú±â¿Â,ÃÖ°í±â¿Â,°­¼ö·®,È¯À²,¼öÀÔ·®,¼öÀÔ¾×,»ý»ê·®,Àç¹è¸éÀû,¹°°¡Áö¼ö
09??3ì£?(2016.09.19 ~ 2016.09.21),1615,20.41428571,16.94285714,24.52857143,13.9,1104.02,205.89,12424.71893,275.727825,382.6153846,69.913
09??4ì£?(2016.09.22 ~ 2016.09.28),1657,20.84285714,16.92857143,26.04285714,2.171428571,1101.91,205.89,12424.71893,275.727825,382.6153846,69.913
09??5ì£?(2016.09.29 ~ 2016.10.05),1691,20.04285714,17.05714286,23.8,12.01428571,1115.76,205.89,12424.71893,275.727825,382.6153846,69.913
10??1ì£?(2016.10.06 ~ 2016.10.12),1635,15.72857143,11.62857143,21.04285714,4.7,1136.41,177.0925,10503.30938,275.727825,382.6153846,74.107
10??2ì£?(2016.10.13 ~ 2016.10.19),1690,16.17142857,11.84285714,22.14285714,2.685714286,1136.21,177.0925,10503.30938,275.727825,382.6153846,74.107
10??3ì£?(2016.10.20 ~ 2016.10.26),1724,15.31428571,11.77142857,19.55714286,2.414285714,1147.32,177.0925,10503.30938,275.727825,382.6153846,74.107
10??4ì£?(2016.10.27 ~ 2016.11.02),1695,9.357142857,4.971428571,13.98571429,0.957142857,1141.45,177.0925,10503.30938,275.727825,382.6153846,74.107
11??1ì£?(2016.11.03 ~ 2016.11.09),1685,9.957142857,4.957142857,15.62857143,0.728571429,1165.58,192,11885.48795,275.727825,382.6153846,78.431
11??2ì£?(2016.11.10 ~ 2016.11.16),1712,9.942857143,4.428571429,15.98571429,1.328571429,1181.08,192,11885.48795,275.727825,382.6153846,78.431
11??3ì£?(2016.11.17 ~ 2016.11.23),1743,9.142857143,4.7,14.1,2.157142857,1175.77,192,11885.48795,275.727825,382.6153846,78.431
11??4ì£?(2016.11.24 ~ 2016.11.30),1736,3,-1.242857143,7.928571429,0.742857143,1167.32,192,11885.48795,275.727825,382.6153846,78.431
12??1ì£?(2016.12.01 ~ 2016.12.07),1677,4.3,-1.128571429,10.17142857,0.042857143,1172.89,164.803,10729.4277,275.727825,382.6153846,81.895
12??2ì£?(2016.12.08 ~ 2016.12.14),1780,2.857142857,-2.142857143,8.314285714,0.8,1186.58,164.803,10729.4277,275.727825,382.6153846,81.895
12??3ì£?(2016.12.15 ~ 2016.12.21),1768,4.057142857,-0.671428571,9.071428571,4.185714286,1200.36,164.803,10729.4277,275.727825,382.6153846,81.895
12??4ì£?(2016.12.22 ~ 2016.12.28),1797,2.557142857,-1.128571429,6.928571429,3.928571429,1207.26,164.803,10729.4277,275.727825,382.6153846,81.895
12??5ì£?(2016.12.29 ~ 2017.01.04),1789,2.157142857,-2.528571429,7.871428571,0.028571429,1202,164.803,10729.4277,275.727825,382.6153846,81.895
01??1ì£?(2017.01.05 ~ 2017.01.11),1834,3.4,-1,8,0.557142857,1175,213.8025,13355.95725,2384.364168,375.7307692,85.862
01??2ì£?(2017.01.12 ~ 2017.01.18),2021,-2.214285714,-7.014285714,3.471428571,0.071428571,1175.39,213.8025,13355.95725,2384.364168,375.7307692,85.862
01??3ì£?(2017.01.19 ~ 2017.01.25),2147,-3.171428571,-7.871428571,2,0.657142857,1178.82,213.8025,13355.95725,2384.364168,375.7307692,85.862
01??4ì£?(2017.01.26 ~ 2017.02.01),2193,-0.1,-5.528571429,5.5,0.9,1138.52,213.8025,13355.95725,2384.364168,375.7307692,85.862
02??1ì£?(2017.02.02 ~ 2017.02.08),2302,1.557142857,-3.242857143,6.914285714,0.271428571,1146.6,168.13825,10316.1065,2384.364168,375.7307692,92.675
02??2ì£?(2017.02.09 ~ 2017.02.15),2318,-0.685714286,-5.714285714,4.828571429,0.157142857,1150.78,168.13825,10316.1065,2384.364168,375.7307692,92.675
