week,家概啊,乞闭扁柯,弥历扁柯,弥绊扁柯,碍荐樊,券啦,荐免樊,荐免啊,荐涝樊,荐涝啊,积魂樊,犁硅搁利,拱啊瘤荐,market price,
03岿 4林 (2015.03.26 ~ 2015.04.01),1286,11.2,4.342857143,18.05714286,0.714285714,1086.48,43,2254.938,135,29861512,26028,367,52,83.141,
04岿 1林 (2015.04.02 ~ 2015.04.08),1284,10.45714286,7.185714286,14.67142857,6.128571429,1093.96,5,403.6379,49,13761149,26028,367,54.028,83.208,
04岿 2林 (2015.04.09 ~ 2015.04.15),1325,10.54285714,5.085714286,16.45714286,2.757142857,1083.79,5,403.6379,49,13761149,26028,367,54,83.208,
04岿 3林 (2015.04.16 ~ 2015.04.22),1341,12.71428571,6.642857143,19.24285714,4.328571429,1076.39,5,403.6379,49,13761149,26028,367,54,83.208,
04岿 4林 (2015.04.23 ~ 2015.04.29),1344,16.57142857,9.414285714,23.57142857,4.485714286,1081.35,5,403.6379,49,13761149,26028,367,54,83.208,
04岿 5林 (2015.04.30 ~ 2015.05.06),1334,17.14285714,11.32857143,23.22857143,2.142857143,1087.99,5,403.6379,49,13761149,26028,367,54,83.208,
05岿 1林 (2015.05.07 ~ 2015.05.13),1316,17.11428571,11.14285714,23.21428571,4.714285714,1083.72,12,964.0894,73,20689179,26028,367,53.549,84.988,
05岿 2林 (2015.05.14 ~ 2015.05.20),1355,18.1,12.47142857,24.18571429,0.857142857,1096.68,12,964.0894,73,20689179,26028,367,54,84.988,
05岿 3林 (2015.05.21 ~ 2015.05.27),1409,20.47142857,12.68571429,28.42857143,0,1113.01,12,964.0894,73,20689179,26028,367,54,84.988,
05岿 4林 (2015.05.28 ~ 2015.06.03),1589,21.27142857,15.45714286,27.62857143,0.442857143,1124.54,12,964.0894,73,20689179,26028,367,54,84.988,
06岿 1林 (2015.06.04 ~ 2015.06.10),1802,20.58571429,14.58571429,26.85714286,0.642857143,1112.17,7,549.8562,24,7034790,26028,367,58.616,84.61,
06岿 2林 (2015.06.11 ~ 2015.06.17),1836,22.34285714,18.21428571,27.67142857,1.742857143,1103.2,7,549.8562,24,7034790,26028,367,59,84.61,
06岿 3林 (2015.06.18 ~ 2015.06.24),1825,21.91428571,17.94285714,26.98571429,2.714285714,1122.95,7,549.8562,24,7034790,26028,367,59,84.61,
