week,소매가,평균기온,최저기온,최고기온,강수량,환율,수출량,수출가,수입량,수입가,생산량,재배면적,물가지수
06월 2주 (2015.06.11 ~ 2015.06.17),"13,949",22.34285714,18.21428571,27.67142857,1.742857143,1103.2,"24,454","62,848,572",,,5693145.833,719.0416668,84.988
06월 3주 (2015.06.18 ~ 2015.06.24),"12,951",21.91428571,17.94285714,26.98571429,2.714285714,1122.95,24454,62848572,,,5693145.833,719.0416668,84.988
06월 4주 (2015.06.25 ~ 2015.07.01),"11,246",21.98571429,18.55714286,26.48571429,8.614285714,1122.6,24454,62848572,,,5693145.833,719.0416668,84.988
07월 1주 (2015.07.02 ~ 2015.07.08),"10,973",21.57142857,17.34285714,26.31428571,5.371428571,1131.2,9926.25,18649188,,,5693145.833,719.0416668,84.61
07월 2주 (2015.07.09 ~ 2015.07.15),"10,766",24.6,21.3,28.91428571,11.11428571,1150.18,9926.25,18649188,,,5693145.833,719.0416668,84.61
07월 3주 (2015.07.16 ~ 2015.07.22),"10,291",23.72857143,20.64285714,27.75714286,1.642857143,1170.35,9926.25,18649188,,,5693145.833,719.0416668,84.61
07월 4주 (2015.07.23 ~ 2015.07.29),"9,635",26.61428571,23.71428571,30.35714286,7.5,1166.67,9926.25,18649188,,,5693145.833,719.0416668,84.61
07월 5주 (2015.07.30 ~ 2015.08.05),"9,196",27.95714286,23.94285714,33.11428571,0.9,1164.7,9926.25,18649188,,,5693145.833,719.0416668,84.182
08월 1주 (2015.08.06 ~ 2015.08.12),"8,963",26.58571429,22.5,31.97142857,2.971428571,1179.33,971.75,7084611,,,5693145.833,719.0416668,84.182
08월 2주 (2015.08.13 ~ 2015.08.19),"8,864",25.12857143,21.08571429,30.35714286,2.271428571,1195.85,971.75,7084611,,,5693145.833,719.0416668,84.182
08월 3주 (2015.08.20 ~ 2015.08.26),"8,935",23.61428571,20.87142857,27.54285714,8.9,1179.87,971.75,7084611,,,5693145.833,719.0416668,84.182
08월 4주 (2015.08.27 ~ 2015.09.02),"8,695",23.22857143,19.18571429,28.51428571,2.957142857,1201.33,971.75,7084611,,,5693145.833,719.0416668,84.182
09월 1주 (2015.09.03 ~ 2015.09.09),"8,131",21.4,17.02857143,26.71428571,2.557142857,1182.69,515.25,3824291.25,,,5693145.833,719.0416668,85.206
09월 2주 (2015.09.10 ~ 2015.09.16),"7,931",19.47142857,14.02857143,25.32857143,0.985714286,1173.04,515.25,3824291.25,,,5693145.833,719.0416668,85.206
09월 3주 (2015.09.17 ~ 2015.09.23),"8,128",19.97142857,15.04285714,26.02857143,1.828571429,1193.07,515,"3,824,291",,,5693145.833,719.0416668,85.206
09월 4주 (2015.09.24 ~ 2015.09.30),"8,509",20.22857143,15.15714286,26.4,0.414285714,1173.1,515,"3,824,291",,,5693145.833,719.0416668,85.206
10월 1주 (2015.10.01 ~ 2015.10.07),"9,110",17.05714286,11.17142857,23.94285714,5.342857143,1148.05,946.5,4773671,,,5693145.833,719.0416668,85.046
10월 2주 (2015.10.08 ~ 2015.10.14),"9,138",14.74285714,9.328571429,21.01428571,1.142857143,1131.44,946.5,4773671,,,5693145.833,719.0416668,85.046
10월 3주 (2015.10.15 ~ 2015.10.21),"8,915",16.27142857,10.58571429,24.11428571,0.042857143,1136.01,946.5,4773671,,,5693145.833,719.0416668,85.046
10월 4주 (2015.10.22 ~ 2015.10.28),"9,324",14.67142857,10.02857143,20.24285714,2.6,1141.16,946.5,4773671,,,5693145.833,719.0416668,85.046
10월 5주 (2015.10.29 ~ 2015.11.04),"9,434",9.042857143,3.414285714,15.55714286,0.1,1152.78,946.5,4773671,,,5693145.833,719.0416668,83.376
11월 1주 (2015.11.05 ~ 2015.11.11),"9,829",12.65714286,9.214285714,16.77142857,7.114285714,1170.34,1866.25,12921984,,4032,5693145.833,719.0416668,83.376
11월 2주 (2015.11.12 ~ 2015.11.18),"9,472",13.08571429,10.31428571,16.22857143,7.014285714,1154.62,1866.25,12921984,,4032,5693145.833,719.0416668,83.376
11월 3주 (2015.11.19 ~ 2015.11.25),"9,234",9.585714286,6.914285714,12.64285714,3.442857143,1156.83,1866.25,12921984,,4032,5693145.833,719.0416668,83.376
11월 4주 (2015.11.26 ~ 2015.12.02),"9,163",4.114285714,0.314285714,8.614285714,1.514285714,1163.64,1866.25,12921984,,4032,5693145.833,719.0416668,83.376
12월 1주 (2015.12.03 ~ 2015.12.09),"8,790",4.114285714,-0.342857143,9.057142857,0.5,1187.58,10030.5,108891985,,,5693145.833,719.0416668,81.294
12월 2주 (2015.12.10 ~ 2015.12.16),"8,320",6.3,3.057142857,9.842857143,3.514285714,1182.43,10030.5,108891985,,,5693145.833,719.0416668,81.294
12월 3주 (2015.12.17 ~ 2015.12.23),"8,732",2.242857143,-1.871428571,6.914285714,0.657142857,1170.95,10030.5,108891985,,,5693145.833,719.0416668,81.294
12월 4주 (2015.12.24 ~ 2015.12.30),"10,205",0.814285714,-3.828571429,6.057142857,0.185714286,1175.45,10030.5,108891985,,,5693145.833,719.0416668,81.294
12월 5주 (2015.12.31 ~ 2016.01.06),"9,896",3.042857143,-1.542857143,8.271428571,0.114285714,1207.94,10030.5,108891985,,,5693145.833,719.0416668,83.779
01월 1주 (2016.01.07 ~ 2016.01.13),"10,201",-0.242857143,-4.2,4.385714286,0.114285714,1214.81,1592.75,19371732.5,,,5305375,670.4375,83.779
01월 2주 (2016.01.14 ~ 2016.01.20),"10,162",-2.114285714,-6.285714286,2.657142857,0.742857143,1197.57,1592.75,19371732.5,,,5305375,670.4375,83.779
01월 3주 (2016.01.21 ~ 2016.01.27),"10,700",-4.971428571,-9.628571429,-0.271428571,0.442857143,1208.11,1592.75,19371732.5,,,5305375,670.4375,83.779
01월 4주 (2016.01.28 ~ 2016.02.03),"11,674",-0.542857143,-4.542857143,3.8,2.214285714,1206.35,1592.75,19371732.5,,,5305375,670.4375,83.779
02월 1주 (2016.02.04 ~ 2016.02.05),"15,356",0.5,-5.171428571,6.471428571,0.1,1207,2270.5,22307914.25,0.25,2129.75,5305375,670.4375,85.004
02월 2주 (2016.02.11 ~ 2016.02.17),"16,139",3.9,-0.671428571,8.857142857,4.828571429,1233.87,"2,271","22,307,914",0,"2,130",5305375,670.4375,85.004
02월 3주 (2016.02.18 ~ 2016.02.24),"14,441",2.514285714,-2.114285714,7.385714286,0.128571429,1243.13,"2,271","22,307,914",0.25,2129.75,5305375,670.4375,85.004
02월 4주 (2016.02.25 ~ 2016.03.02),"13,820",1.757142857,-3.342857143,7.2,1.185714286,1198.5,2270.5,22307914.25,0.25,2129.75,5305375,670.4375,85.004
03월 1주 (2016.03.03 ~ 2016.03.09),"13,347",8.085714286,3.442857143,13.2,6.414285714,1187.9,3006.25,24583284,,,5305375,670.4375,89.017
03월 2주 (2016.03.10 ~ 2016.03.16),"14,427",3.914285714,-1.285714286,9.757142857,0.042857143,1164.3,3006.25,24583284,,,5305375,670.4375,89.017
03월 3주 (2016.03.17 ~ 2016.03.23),"15,394",9.428571429,3.671428571,15.77142857,1.414285714,1169.05,3006.25,24583284,,,5305375,670.4375,89.017
03월 4주 (2016.03.24 ~ 2016.03.30),"15,183",8.4,2.1,15.01428571,0.142857143,1147.89,3006.25,24583284,,,5305375,670.4375,89.017
03월 5주 (2016.03.31 ~ 2016.04.06),"14,992",12.45714286,6.014285714,19.48571429,3.357142857,1151.64,3006.25,24583284,,,5305375,670.4375,87.002
04월 1주 (2016.04.07 ~ 2016.04.12),"16,189",13.24285714,8.214285714,19.5,5.171428571,1146.99,3868.25,27793654,,,5305375,670.4375,87.002
04월 2주 (2016.04.14 ~ 2016.04.20),"15,424",13.64285714,8.157142857,19.8,5.8,1149.99,3868.25,27793654,,,5305375,670.4375,87.002
04월 3주 (2016.04.21 ~ 2016.04.27),"14,005",15.1,9.571428571,21.5,7.885714286,1144.83,3868.25,27793654,,,5305375,670.4375,87.002
04월 4주 (2016.04.28 ~ 2016.05.04),"12,936",16.25714286,10.34285714,22.57142857,5.328571429,1169.3,3868.25,27793654,,,5305375,670.4375,87.002
05월 2주 (2016.05.09 ~ 2016.05.11),"10,960",16.9,11.57142857,22.74285714,3.385714286,1176.8,7427.5,44439017,,,5305375,670.4375,86.818
05월 2주 (2016.05.12 ~ 2016.05.18),"10,902",17.64285714,10.71428571,24.77142857,2.657142857,1186.2,7427.5,44439017,,,5305375,670.4375,86.818
05월 3주 (2016.05.19 ~ 2016.05.25),"10,855",19.78571429,12.88571429,26.81428571,2.9,1186.25,7427.5,44439017,,,5305375,670.4375,86.818
05월 4주 (2016.05.26 ~ 2016.06.01),"10,734",20.98571429,15.65714286,27.14285714,0.171428571,1163.55,"7,428","44,439,017",,,5305375,670.4375,86.818
06월 1주 (2016.06.02 ~ 2016.06.08),"10,617",20.55714286,15.92857143,25.57142857,0.942857143,1171.53,2950.5,20415214,,,5305375,670.4375,85.5
06월 2주 (2016.06.09 ~ 2016.06.15),"10,833",22.54285714,18.72857143,27.45714286,1.442857143,1170.46,"2,951","20,415,214",,,5305375,670.4375,85.5
06월 3주 (2016.06.16 ~ 2016.06.22),"10,429",23.2,19.07142857,28.18571429,2.414285714,1171.95,2950.5,20415214,,,5305375,670.4375,85.5
06월 4주 (2016.06.23 ~ 2016.06.29),"10,830",22.75714286,18.67142857,27.47142857,4.685714286,1150,2950.5,20415214,,,5305375,670.4375,85.5
06월 5주 (2016.06.30 ~ 2016.07.06),"10,790",23.6,21.02857143,27.11428571,31.94285714,1149.8,2950.5,20415214,,,5305375,670.4375,83.384
07월 1주 (2016.07.07 ~ 2016.07.13),"10,998",25.35714286,21.61428571,30.22857143,1.914285714,1138.6,2636.5,17943640,,,5305375,670.4375,83.384
07월 2주 (2016.07.14 ~ 2016.07.20),"10,854",24.07142857,20.7,28.28571429,4.571428571,1136.35,2636.5,17943640,,,5305375,670.4375,83.384
07월 3주 (2016.07.21 ~ 2016.07.27),"10,842",26.84285714,23.14285714,31.42857143,1.885714286,1112.24,2636.5,17943640,,,5305375,670.4375,83.384
07월 4주 (2016.07.28 ~ 2016.08.03),"10,040",27.57142857,24.08571429,32.44285714,4.042857143,1115.27,2636.5,17943640,,,5305375,670.4375,83.384
